,Road name,Link no,Link Name,Start LRP,Start Offset,Start Chainage,End LRP,End Offset,End Chainage,Link Length,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
82,N1,N1-48,Hashimpur Z1036- Keranirhat N108,LRP281,700,278.013,LRP291,2558,289.612,11.599,40132.0,2.000000000000008,11.499999999999954,392.9999999999984,618.4999999999975,471.9999999999981,45.999999999999815,633.4999999999975,54.49999999999978,405.49999999999835,3252.499999999987,452.4999999999982,109.99999999999956,421.4999999999983,0.0,6339.4999999999745,531.4999999999978,6870.999999999973
83,N1,N1-49,Keranirhat N108 - Int.with Z1019,LRP291,2558,289.612,LRP291,2920,289.974,0.36200000000000004,40132.0,1.999999999999814,11.50000000000107,393.00000000003655,618.5000000000575,472.00000000004394,46.00000000000428,633.5000000000589,54.50000000000507,405.50000000003774,3252.5000000003024,452.5000000000421,110.00000000001023,421.5000000000392,0.0,6339.500000000589,531.5000000000495,6871.000000000639
84,N1,N1-50,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920,289.974,LRP299,2769,297.441,7.4670000000000005,40132.0,1.9999999999999958,11.500000000000025,393.00000000000085,618.5000000000013,472.000000000001,46.0000000000001,633.5000000000014,54.500000000000114,405.50000000000085,3252.500000000007,452.50000000000097,110.00000000000023,421.5000000000009,0.0,6339.500000000014,531.5000000000011,6871.000000000015
85,N1,N1-51,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769,297.441,LRP312,171,307.582,10.141,79800.0,2.000000000000004,20.999999999999957,1181.9999999999977,607.4999999999987,507.499999999999,393.4999999999992,1012.499999999998,172.49999999999966,506.499999999999,833.9999999999983,389.4999999999992,320.9999999999994,363.99999999999926,0.0,5626.499999999989,684.9999999999986,6311.499999999987
86,N1,N1-52,Chunati R171 - Aziznagar Z1007,LRP312,171,307.582,LRP320,308,315.728,8.146,79800.0,2.0000000000000036,20.999999999999964,1181.999999999998,607.499999999999,507.4999999999991,393.4999999999993,1012.4999999999982,172.4999999999997,506.4999999999991,833.9999999999985,389.4999999999993,320.99999999999943,363.9999999999994,0.0,5626.49999999999,684.9999999999987,6311.499999999989
87,N1,N1-53,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308,315.728,LRP321,63,316.356,0.628,79800.0,1.9999999999999551,21.000000000000473,1182.0000000000266,607.5000000000136,507.50000000001137,393.5000000000088,1012.5000000000227,172.50000000000387,506.50000000001137,834.0000000000188,389.50000000000875,321.0000000000072,364.0000000000082,0.0,5626.500000000126,685.0000000000153,6311.500000000142
88,N1,N1-54,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63,316.356,LRP328,485,323.842,7.486000000000001,79800.0,1.9999999999999971,21.000000000000032,1182.0000000000018,607.5000000000009,507.50000000000074,393.50000000000057,1012.5000000000015,172.50000000000026,506.50000000000074,834.0000000000013,389.50000000000057,321.00000000000045,364.0000000000005,0.0,5626.500000000008,685.000000000001,6311.500000000009
89,N1,N1-55,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485,323.842,LRP331,844,327.188,3.346,24654.0,2.000000000000002,21.999999999999975,386.99999999999955,124.49999999999986,374.4999999999996,71.99999999999991,528.9999999999994,100.99999999999989,330.49999999999966,566.4999999999993,275.9999999999997,116.49999999999987,133.49999999999986,0.0,2782.999999999997,249.99999999999972,3032.999999999997
90,N1,N1-56,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844,327.188,LRP335,500,330.874,3.6860000000000004,24654.0,2.000000000000019,21.99999999999979,386.9999999999963,124.4999999999988,374.4999999999964,71.99999999999932,528.999999999995,100.99999999999903,330.4999999999968,566.4999999999945,275.9999999999974,116.49999999999889,133.49999999999872,0.0,2782.9999999999736,249.9999999999976,3032.999999999971
91,N1,N1-57,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500,330.874,LRP336,764,332.066,1.192,24654.0,1.999999999999917,22.000000000000913,387.0000000000161,124.50000000000517,374.5000000000156,72.00000000000298,529.0000000000219,101.00000000000419,330.5000000000137,566.5000000000235,276.0000000000115,116.50000000000483,133.50000000000554,0.0,2783.0000000001155,250.00000000001037,3033.000000000126
92,N1,N1-58,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764,332.066,LRP336,1575,332.87699999999995,0.8109999999999999,24654.0,1.9999999999999474,22.00000000000058,387.0000000000102,124.50000000000328,374.50000000000983,72.00000000000189,529.0000000000139,101.00000000000266,330.5000000000087,566.5000000000149,276.0000000000073,116.50000000000307,133.50000000000352,0.0,2783.000000000073,250.00000000000657,3033.0000000000796
93,N1,N1-59,Chokoria R172 - Faishakhali Z1005,LRP336,1575,332.87699999999995,LRP341,852,337.31,4.433,35179.0,2.0000000000000226,19.49999999999978,504.49999999999426,274.4999999999969,391.99999999999557,118.99999999999865,508.99999999999426,82.49999999999906,158.9999999999982,1255.4999999999857,721.4999999999918,213.99999999999758,2091.4999999999764,0.0,4036.999999999954,2305.499999999974,6342.499999999928
94,N1,N1-60,Faishakhali Z1005- Dulahazra Z1130,LRP341,852,337.31,LRP348,96,343.559,6.249,18469.0,2.0000000000000075,17.499999999999932,297.49999999999886,79.4999999999997,205.99999999999923,67.99999999999974,379.9999999999986,58.99999999999978,54.499999999999794,773.999999999997,201.49999999999923,58.99999999999978,224.99999999999915,0.0,2137.499999999992,283.9999999999989,2421.499999999991
95,N1,N1-61,Dulahazra Z1130-Khutakhali Z1131,LRP348,96,343.559,LRP354,509,350.05400000000003,6.495,18469.0,2.0000000000000013,17.49999999999999,297.49999999999983,79.49999999999994,205.99999999999986,67.99999999999996,379.9999999999998,58.99999999999996,54.499999999999964,773.9999999999994,201.49999999999986,58.99999999999996,224.99999999999986,0.0,2137.4999999999986,283.99999999999983,2421.499999999998
96,N1,N1-62,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509,350.05400000000003,LRP376,57,370.98199999999997,20.928,18469.0,1.9999999999999942,17.50000000000005,297.50000000000085,79.50000000000023,206.0000000000006,68.0000000000002,380.0000000000011,59.00000000000017,54.500000000000156,774.0000000000023,201.50000000000057,59.00000000000017,225.00000000000065,0.0,2137.5000000000064,284.0000000000008,2421.500000000007
