,Unnamed: 0,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
180,180,N1,LRP067a,23.495896314,90.9715772516,66.178,KARON KHAL SLAB CULVERT,4.6,B,LRP068,BridgesDelay
181,181,N1,LRP068,23.4942219,90.9765549,66.726,0,0.0,0,LRP069,BlankProcess
182,182,N1,LRP069,23.4942497,90.985833,67.726,0,0.0,0,LRP068a,BlankProcess
183,183,N1,LRP068a,23.4932728146,90.9887200416,68.04,MILL GHAT BOX CULVERT,4.5,A,LRP070,BridgesDelay
184,184,N1,LRP070,23.491138600000006,90.9950274,68.726,0,0.0,0,LRP070a,BlankProcess
185,185,N1,LRP070a,23.489444100000004,91.0033056,69.616,0,0.0,0,LRP070b,BlankProcess
186,186,N1,LRP070b,23.4893886,91.0034722,69.638,0,0.0,0,LRP071,BlankProcess
187,187,N1,LRP071,23.4896108,91.0043056,69.709,0,0.0,0,LRP072,BlankProcess
188,188,N1,LRP072,23.4893052,91.0112778,70.443,0,0.0,0,LRP072b,BlankProcess
189,189,N1,LRP072b,23.4889441,91.01225,70.557,0,0.0,0,LRP073,BlankProcess
190,190,N1,LRP073,23.488333,91.0140833,70.755,0,0.0,0,LRP072a,BlankProcess
191,191,N1,LRP072a,23.4868805937254,91.017566692647,71.156,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.1,C,LRP074,BridgesDelay
192,192,N1,LRP074,23.484638600000004,91.0229438,71.775,0,0.0,0,LRP075,BlankProcess
193,193,N1,LRP075,23.4827771,91.0321382,72.775,0,0.0,0,LRP075a,BlankProcess
194,194,N1,LRP075a,23.481166,91.0404441,73.688,0,0.0,0,LRP076,BlankProcess
195,195,N1,LRP076,23.481471600000006,91.0419719,73.829,0,0.0,0,LRP076a,BlankProcess
196,196,N1,LRP076a,23.4820827,91.0504167,74.7,0,0.0,0,LRP077,BlankProcess
197,197,N1,LRP077,23.4821382,91.0516944,74.829,0,0.0,0,LRP078,BlankProcess
198,198,N1,LRP078,23.4815549,91.06136109999998,75.829,0,0.0,0,LRP077a,BlankProcess
199,199,N1,LRP077a,23.480613085999998,91.0674097692,76.48100000000001,NIMSHAR SLAB CULVERT,1.5,A,LRP079,BridgesDelay
200,200,N1,LRP079,23.4801104,91.0706382,76.829,0,0.0,0,LRP080,BlankProcess
201,201,N1,LRP080,23.4770271,91.0794716,77.829,0,0.0,0,LRP079a,BlankProcess
202,202,N1,LRP079a,23.477672285100002,91.08474063930001,78.382,KABILA DUBARCHAR SLAB CULVERT,1.0,C,LRP081,BridgesDelay
203,203,N1,LRP081,23.4781938,91.0889997,78.829,0,0.0,0,LRP082,BlankProcess
204,204,N1,LRP082,23.4775549,91.0986663,79.829,0,0.0,0,LRP082a,BlankProcess
205,205,N1,LRP082a,23.4778604,91.1036111,80.342,0,0.0,0,LRP083,BlankProcess
206,206,N1,LRP083,23.4779993,91.1055278,80.829,0,0.0,0,LRP081a,BlankProcess
207,207,N1,LRP081a,23.478115904938196,91.1070332074074,80.949,NAZIRA BOX CULVERT,3.0,B,LRP084,BridgesDelay
208,208,N1,LRP084,23.4789716,91.1179993,81.829,0,0.0,0,LRP084a,BlankProcess
209,209,N1,LRP084a,23.4789716,91.118166,81.846,0,0.0,0,LRP084b,BlankProcess
210,210,N1,LRP084b,23.4793327,91.1234716,82.39299999999999,0,0.0,0,LRP083a,BlankProcess
211,211,N1,LRP083a,23.479408388073303,91.1238920825688,82.43700000000001,TIPRA BAZAR BOX CULVERT,1.4,A,LRP085,BridgesDelay
212,212,N1,LRP085,23.4800827,91.1276382,82.829,0,0.0,0,LRP083b,BlankProcess
213,213,N1,LRP083b,23.479544924000002,91.129047144,82.98899999999999,AMTOLI SLAB CULVERT,2.9,A,LRP086,BridgesDelay
214,214,N1,LRP086,23.4767216,91.1364441,83.829,0,0.0,0,LRP087,BlankProcess
215,215,N1,LRP087,23.468221600000003,91.1394441,84.829,0,0.0,0,LRP088,BlankProcess
216,216,N1,LRP088,23.4595833,91.1421386,85.829,0,0.0,0,LRP089,BlankProcess
217,217,N1,LRP089,23.4513056,91.1460552,86.829,0,0.0,0,LRP089a,BlankProcess
218,218,N1,LRP089a,23.448833,91.1471386,87.132,0,0.0,0,LRP089b,BlankProcess
219,219,N1,LRP089b,23.4486386,91.1472497,87.156,0,0.0,0,LRP089c,BlankProcess
220,220,N1,LRP089c,23.446944100000003,91.1481386,87.366,0,0.0,0,LRP088a,BlankProcess
221,221,N1,LRP088a,23.4436339598272,91.1493668151188,87.713,DHANPUR RCC GIDER BRIDGE,23.4,A,LRP090,BridgesDelay
222,222,N1,LRP090,23.4425274,91.1497774,87.829,0,0.0,0,LRP091,BlankProcess
223,223,N1,LRP091,23.4373886,91.1521944,88.51299999999998,0,0.0,0,LRP092,BlankProcess
224,224,N1,LRP092,23.4288882,91.1553889,89.51299999999998,0,0.0,0,LRP093,BlankProcess
225,225,N1,LRP093,23.4236938,91.1626944,90.493,0,0.0,0,LRP093a,BlankProcess
226,226,N1,LRP093a,23.4235827,91.1629722,90.521,0,0.0,0,LRP093b,BlankProcess
