	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced	zero_lon	zero_lat
249	249	Bridge end	LRP113b	Bridge	23.2959719	91.2915274	N1	110.781		False	False
250	250	Km post missing	LRP114	Km Post	23.2919163	91.2922219	N1	111.248		False	False
251	251	Box culvert	LRP114a	Culvert	23.2876663	91.2936386	N1	111.75		False	False
252	252	Km post missing	LRP115	Km Post	23.283583	91.2952219	N1	112.248		False	False
253	253	Box culvert	LRP115a	Culvert	23.2787216	91.3002778	N1	113.022		False	False
254	254	Km post missing	LRP116	Km Post	23.2768882	91.3011944	N1	113.248		False	False
255	255	Km post missing	LRP117	Km Post	23.2686382	91.3049722	N1	114.248		False	False
256	256	Box culvert	LRP117a	Culvert	23.2677493	91.3054722	N1	114.364		False	False
257	257	Box culvert	LRP117b	Culvert	23.2654444	91.3064444	N1	114.641		False	False
258	258	Box culvert	LRP117c	Culvert	23.2636667	91.30675	N1	114.844		False	False
259	259	Km post missing	LRP118	Km Post	23.2601111	91.3072778	N1	115.248		False	False
260	260	Box culvert	LRP118a	Culvert	23.2587222	91.3074444	N1	115.404		False	False
261	261	Km post missing	LRP119	Km Post	23.2511944	91.3086389	N1	116.248		False	False
262	262	Box culvert	LRP119a	Culvert	23.249833	91.3091944	N1	116.422		False	False
263	263	Bridge start	LRP119b	Bridge	23.248333	91.3098056	N1	116.608		False	False
264	264	Bridge end	LRP119c	Bridge	23.2481663	91.3098889	N1	116.631		False	False
265	265	Box culvert	LRP119d	Culvert	23.2452774	91.3110556	N1	116.978		False	False
266	266	Km post missing	LRP120	Km Post	23.243083	91.3119167	N1	117.248		False	False
267	267	Box culvert	LRP120a	Culvert	23.241694100000004	91.3123611	N1	117.411		False	False
268	268	Box culvert	LRP120b	Culvert	23.2344997	91.3131667	N1	118.228		False	False
269	269	Km post missing	LRP121	Km Post	23.2343052	91.3131667	N1	118.248		False	False
270	270	Box culvert	LRP121a	Culvert	23.231499300000007	91.3132222	N1	118.563		False	False
271	271	Box culvert	LRP121b	Culvert	23.2275549	91.3135278	N1	119.011		False	False
272	272	Km post missing	LRP122	Km Post	23.2253882	91.3135833	N1	119.248		False	False
273	273	Road to Bangadda (Z1045)	LRP122a	Side Road, Right	23.221416	91.3137222	N1	119.698		False	False
274	274	Box culvert	LRP122b	Culvert	23.2184993	91.3143889	N1	120.026		False	False
275	275	Km post missing	LRP123	Km Post	23.2165556	91.3149167	N1	120.248		False	False
276	276	Box culvert	LRP123a	Culvert	23.2103056	91.3157222	N1	120.966		False	False
277	277	Km post missing	LRP124	Km Post	23.2078889	91.3159722	N1	121.248		False	False
278	278	Box culvert	LRP124a	Culvert	23.201	91.3168049	N1	122.019		False	False
