road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
Z5211,7.758,Box Culvert,LRP009a,.,4.83,A,106727,Natore (Dalsarak)-Bildahar-Gurudaspur Road,7.758,7.32,1996,1,Rajshahi,Pabna,Natore,Natore-1,24.43972222,89.10111111,bcs1
N2,64.333,RCC Girder Bridge,LRP064b,NARAYAN PUR RCC GIDER BRIDGE,11.6,A,103370,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,64.333,8.92,1985,1,Dhaka,Dhaka,Narsingdi,Shibpur,24.43963889,90.56925,bcs1
N2,163.415,RCC Girder Bridge,LRP164b,BARO CLAR BRIDGE,14.8,A,104396,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.415,10.45,2003,1,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.43963889,91.56925,bcs1
R240,23.814,RCC Girder Bridge,LRP024a,SIKANDAR PUR R C C GIRDER BRIDGE,18.3,C,102195,Shaistaganj-Habiganj-Nabiganj-Sherpur (Auskandi) Road,23.814,9.95,2002,1,Sylhet,Moulavi Bazar,Habiganj,Habigonj,24.43938889,91.45152778,bcs1
Z6810,0.47,Box Culvert,LRPSb,.,1,A,116303,Manda Thana link Road (Manda-Prashadpur Road),0.47,15,1990,1,Rajshahi,Rajshahi,Naogaon,Naogaon,24.43936111,88.70408333,bcs1
Z6855,26.2,Box Culvert,LRP026b,.,1.2,A,118291,Bagshara-Bagdhani-Bildharampur-Chabbisnagar-Palashbari-Gunigram Road,26.2,4.5,1990,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.43925,88.42497222,bcs1
R681,12.305,Box Culvert,LRP012a,Sluice gate,4.45,C,100345,Ujanpara-Bijoynagar Road (Old Part),12.305,13.35,1985,2,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.43916667,88.35027778,bcs1
Z5209,9.902,Box Culvert,LRP010a,Sluice gate,2.3,B,110032,Singra-Gurudaspur-Chatmohor Road,9.902,11.3,1991,1,Rajshahi,Pabna,Natore,Natore-1,24.43888889,89.15722222,bcs1
N2,163.37,Box Culvert,LRP164a,BROCHAR BOX CULVERT,6.2,A,103583,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.37,12.35,2003,2,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.43883333,91.56919444,bcs1
N2,163.415,RCC Girder Bridge,LRP164b,Boro Char Bridge,14.8,A,120933,Dhaka (Katchpur)-Bhairab-Jagadishpur-Shaistaganj-Sylhet-Tamabil-Jaflong Road,163.415,,,,Sylhet,Moulavi Bazar,Habiganj,Shaistagonj,24.4387774,91.5692216,road_precise
N502,58.736,RCC Girder Bridge,LRP058c,Kaishabari Bridge,12.26,C,119467,Bogra (Jahangirabad)-Natore Road,58.736,,,,Rajshahi,Pabna,Natore,Natore-1,24.43873284,89.02136601,road_interpolate
Z6855,25.8,Box Culvert,LRP026a,.,1,A,118290,Bagshara-Bagdhani-Bildharampur-Chabbisnagar-Palashbari-Gunigram Road,25.8,4.5,1990,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-1,24.43855556,88.42875,bcs1
